2025-02-01 11:09:13,825 [INFO] Producto extraído: {'fecha': '2025/02/01', 'canal': 'EKONO (CR)', 'category': '', 'subcategory': '', 'subcategory_2': '', 'subcategory_3': None, 'marca': 'GALO', 'modelo': 'Gris', 'sku': '1424060', 'upc': '1424060_Gris_40/41', 'item': 'Pantuflas GALO', 'item_characteristics': 'Pantuflas súper suaves y cómodas. Marca: GALO.', 'url sku': 'https://www.tiendasekono.com/pantuflas-galo-gris-t-44-45-1424060.html', 'image': 'Sin imagen', 'price': 3000.0, 'sale_price': None, 'shipment cost': 'available', 'sales flag': '', 'store id': '9999_ekono_cr', 'store name': 'ONLINE', 'store address': 'ONLINE', 'stock': '40/41', 'upc wm': '1424060', 'final_price': 3000.0, 'upc wm2': '1424060', 'comp': None, 'composition': '', 'made_in': None, 'url item': 'https://www.tiendasekono.com/pantuflas-galo-gris-t-44-45-1424060.html'}
2025-02-01 11:09:13,826 [INFO] Producto extraído: {'fecha': '2025/02/01', 'canal': 'EKONO (CR)', 'category': '', 'subcategory': '', 'subcategory_2': '', 'subcategory_3': None, 'marca': 'GALO', 'modelo': 'Gris', 'sku': '1424060', 'upc': '1424060_Gris_T.42-43', 'item': 'Pantuflas GALO', 'item_characteristics': 'Pantuflas súper suaves y cómodas. Marca: GALO.', 'url sku': 'https://www.tiendasekono.com/pantuflas-galo-gris-t-44-45-1424060.html', 'image': 'Sin imagen', 'price': 3000.0, 'sale_price': None, 'shipment cost': 'available', 'sales flag': '', 'store id': '9999_ekono_cr', 'store name': 'ONLINE', 'store address': 'ONLINE', 'stock': 'T.42-43', 'upc wm': '1424060', 'final_price': 3000.0, 'upc wm2': '1424060', 'comp': None, 'composition': '', 'made_in': None, 'url item': 'https://www.tiendasekono.com/pantuflas-galo-gris-t-44-45-1424060.html'}
2025-02-01 11:09:13,826 [INFO] Producto extraído: {'fecha': '2025/02/01', 'canal': 'EKONO (CR)', 'category': '', 'subcategory': '', 'subcategory_2': '', 'subcategory_3': None, 'marca': 'GALO', 'modelo': 'Gris', 'sku': '1424060', 'upc': '1424060_Gris_T.44-45', 'item': 'Pantuflas GALO', 'item_characteristics': 'Pantuflas súper suaves y cómodas. Marca: GALO.', 'url sku': 'https://www.tiendasekono.com/pantuflas-galo-gris-t-44-45-1424060.html', 'image': 'Sin imagen', 'price': 3000.0, 'sale_price': None, 'shipment cost': 'available', 'sales flag': '', 'store id': '9999_ekono_cr', 'store name': 'ONLINE', 'store address': 'ONLINE', 'stock': 'T.44-45', 'upc wm': '1424060', 'final_price': 3000.0, 'upc wm2': '1424060', 'comp': None, 'composition': '', 'made_in': None, 'url item': 'https://www.tiendasekono.com/pantuflas-galo-gris-t-44-45-1424060.html'}
